Month,Total_Volume_Crore,Total_Value_Lakh_Crore,Volume_Growth_Pct,Value_Growth_Pct,Avg_Txn_Value_INR,Banks_Live_on_UPI,P2P_Volume_Crore,P2M_Volume_Crore,P2P_Value_Lakh_Crore,P2M_Value_Lakh_Crore
Apr-2019,782,14.2,,,181.59,143,547.4,234.6,9.23,4.97
May-2019,893,16.5,14.19,16.2,184.77,148,621.3,271.7,10.72,5.77
Jun-2019,1022,17.8,14.45,7.88,174.17,155,706.7,315.3,11.57,6.23
Jul-2019,1148,18.9,12.33,6.18,164.63,160,789.0,359.0,12.29,6.61
Aug-2019,1256,20.1,9.41,6.35,160.03,167,857.9,398.1,13.07,7.04
Sep-2019,1312,21.3,4.46,5.97,162.35,172,890.6,421.4,13.85,7.46
Oct-2019,1418,22.4,8.08,5.16,157.97,178,956.5,461.5,14.56,7.84
Nov-2019,1504,23.8,6.06,6.25,158.24,185,1008.2,495.8,15.47,8.33
Dec-2019,1608,25.4,6.91,6.72,157.96,190,1071.1,536.9,16.51,8.89
Jan-2020,1719,27.1,6.9,6.69,157.65,195,1137.7,581.3,17.62,9.48
Feb-2020,1838,29.2,6.92,7.75,158.87,200,1208.7,629.3,18.98,10.22
Mar-2020,2006,31.0,9.14,6.16,154.54,207,1310.7,695.3,20.15,10.85
Apr-2020,2228,34.5,11.07,11.29,154.85,213,1446.3,781.7,22.43,12.07
May-2020,2319,36.1,4.08,4.64,155.67,220,1495.6,823.4,23.47,12.63
Jun-2020,2408,38.4,3.84,6.37,159.47,226,1542.8,865.2,24.96,13.44
Jul-2020,2463,40.2,2.28,4.69,163.22,231,1567.6,895.4,26.13,14.07
Aug-2020,2700,44.7,9.62,11.19,165.56,237,1706.9,993.1,29.06,15.64
Sep-2020,2972,49.3,10.07,10.29,165.88,242,1866.3,1105.7,32.05,17.25
Oct-2020,3216,54.0,8.21,9.53,167.91,247,2005.9,1210.1,35.1,18.9
Nov-2020,3440,59.1,6.97,9.44,171.8,253,2131.1,1308.9,38.41,20.68
Dec-2020,3550,62.3,3.2,5.41,175.49,258,2184.2,1365.8,40.49,21.8
Jan-2021,3650,64.2,2.82,3.05,175.89,263,2230.2,1419.8,41.73,22.47
Feb-2021,3800,67.8,4.11,5.61,178.42,268,2305.8,1494.2,44.07,23.73
Mar-2021,4000,72.0,5.26,6.19,180.0,272,2410.2,1589.8,46.8,25.2
Apr-2021,4179,75.1,4.47,4.31,179.71,276,2500.3,1678.7,48.81,26.28
May-2021,4325,78.9,3.49,5.06,182.43,279,2569.3,1755.7,51.29,27.62
Jun-2021,4530,84.5,4.74,7.1,186.53,282,2671.9,1858.1,54.93,29.57
Jul-2021,4640,89.3,2.43,5.68,192.46,285,2717.2,1922.8,58.05,31.25
Aug-2021,4900,96.8,5.6,8.4,197.55,287,2848.6,2051.4,62.92,33.88
Sep-2021,5020,101.3,2.45,4.65,201.79,290,2897.1,2122.9,65.84,35.45
Oct-2021,5410,109.7,7.77,8.29,202.77,292,3099.3,2310.7,71.31,38.39
Nov-2021,5590,113.4,3.33,3.37,202.86,295,3178.7,2411.3,73.71,39.69
Dec-2021,5720,119.2,2.33,5.11,208.39,298,3228.4,2491.6,77.48,41.72
Jan-2022,5780,124.5,1.05,4.45,215.4,301,3237.8,2542.2,80.92,43.57
Feb-2022,5976,131.6,3.39,5.7,220.21,303,3322.3,2653.7,85.54,46.06
Mar-2022,6280,139.2,5.09,5.78,221.66,305,3464.6,2815.4,90.48,48.72
Apr-2022,6578,149.5,4.75,7.4,227.27,307,3601.2,2976.8,97.17,52.32
May-2022,7300,163.4,10.98,9.3,223.84,310,3965.5,3334.5,106.21,57.19
Jun-2022,7780,174.5,6.58,6.79,224.29,313,4193.3,3586.7,113.42,61.07
Jul-2022,8270,188.9,6.3,8.25,228.42,315,4422.3,3847.7,122.79,66.11
Aug-2022,8370,196.2,1.21,3.86,234.41,318,4440.4,3929.6,127.53,68.67
Sep-2022,8568,202.4,2.37,3.16,236.23,321,4509.1,4058.9,131.56,70.84
Oct-2022,8830,215.7,3.06,6.57,244.28,323,4609.6,4220.4,140.2,75.49
Nov-2022,9362,229.4,6.02,6.35,245.03,326,4847.6,4514.4,149.11,80.29
Dec-2022,9360,237.6,-0.02,3.57,253.85,328,4806.9,4553.1,154.44,83.16
Jan-2023,9770,249.8,4.38,5.13,255.68,330,4976.1,4793.9,162.37,87.43
Feb-2023,10240,261.3,4.81,4.6,255.18,332,5172.1,5067.9,169.85,91.45
Mar-2023,10567,274.7,3.19,5.13,259.96,334,5292.5,5274.5,178.56,96.14
Apr-2023,11230,295.4,6.27,7.54,263.05,337,5576.9,5653.1,192.01,103.39
May-2023,11730,312.6,4.45,5.82,266.5,339,5775.5,5954.5,203.19,109.41
Jun-2023,12020,328.4,2.47,5.05,273.21,341,5867.4,6152.6,213.46,114.94
Jul-2023,12540,349.2,4.33,6.33,278.47,344,6068.1,6471.9,226.98,122.22
Aug-2023,13000,367.5,3.67,5.24,282.69,346,6235.6,6764.4,238.88,128.62
Sep-2023,13560,391.8,4.31,6.61,288.94,348,6446.7,7113.3,254.67,137.13
Oct-2023,14050,418.3,3.61,6.76,297.72,350,6620.2,7429.8,271.9,146.41
Nov-2023,14890,443.7,5.98,6.07,297.99,352,6952.9,7937.1,288.41,155.29
Dec-2023,15510,469.2,4.16,5.75,302.51,354,7176.7,8333.3,304.98,164.22
Jan-2024,16130,499.8,4.0,6.52,309.86,356,7395.2,8734.8,324.87,174.93
Feb-2024,17000,531.4,5.39,6.32,312.59,358,7722.0,9278.0,345.41,185.99
Mar-2024,17400,558.9,2.35,5.18,321.21,360,7830.0,9570.0,363.29,195.61
